%% LaTeX2e file `dynamite.data'
%% generated by the `filecontents' environment
%% from source `thesis' on 2020/05/01.
%%
                        a    b
                        1   0.2
                        2   0.2
                        3   0.4
                        4   0.5
                        5   0.5
                        6   0.5
                        7   0.8
                        8   0.8
                        9   0.9
                        10  1
                        11  1.1
                        12  2
                        13  2
                        14  2.5
                        15  2.6
                        16  2.7
                        17  2.9
                        18  3
                        19  3.3
                        20  3.6
                        21  3.9
                        22  4
                        23  4.1
                        24  6
                        25  13
                        26  22.7
                        27  30.9
                        28  87.9
                    
